id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
1626,"RN 01643",2015-06-12,2,77.5502,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000B5BEBEEDD4A856415A50919FBA023441
1627,"RN 01644",2015-06-12,2,77.5502,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000B5BEBEEDD4A856415A50919FBA023441
1628,"RN 01645",2015-06-12,2,77.5502,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000B5BEBEEDD4A856415A50919FBA023441
1629,"RN 01646",2015-06-12,2,77.5502,-37.8042,1,155,16,0,,0104000020D70B0000040000000101000000B5BEBEEDD4A856415A50919FBA0234410101000000B5BEBEEDD4A856415A50919FBA0234410101000000B5BEBEEDD4A856415A50919FBA0234410101000000B5BEBEEDD4A856415A50919FBA023441
1630,"RN 01647",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1631,"RN 01648",2015-06-12,2,77.5502,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000B5BEBEEDD4A856415A50919FBA023441
1632,"RN 01649",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1633,"RN 01650",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1634,"RN 01651",2015-06-12,2,77.5503,-37.8042,,155,16,0,,0104000020D70B0000010000000101000000083C3B80D5A8564168CB8641B0023441
1635,"RN 01652",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1636,"RN 01653",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1637,"RN 01654",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1638,"RN 01655",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1639,"RN 01656",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1640,"RN 01657",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1641,"RN 01658",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1697,"RN 01715",2015-06-15,2,77.5504,-37.8035,,155,16,0,,0104000020D70B0000010000000101000000108E7EF0ECA856417E70E214BA023441
1642,"RN 01659",2015-06-12,2,77.5503,-37.8041,1,155,16,0,,0104000020D70B000004000000010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441010100000062A27BC4D8A8564198290424B3023441
1643,"RN 01660",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1644,"RN 01661",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
1645,"RN 01662",2015-06-12,2,77.5502,-37.8041,,155,16,0,,0104000020D70B0000010000000101000000F20FFF31D8A85641262D1082BD023441
1646,"RN 01663",2015-06-12,2,77.5503,-37.8041,,155,16,0,,0104000020D70B000001000000010100000062A27BC4D8A8564198290424B3023441
